Date,GC=F,AAPL,NVDA,BTC-USD,SHY,GE,TLT,ETH-USD,VPU,NBIS
2024-10-22,0.007718602631013913,-0.0026252193829980563,-0.0008352359522236715,-9.56779931777652e-05,-0.00012124208317755908,-0.09481603045486288,0.0009753570866754745,-0.01722154792344878,-0.0031364425207165685,-0.0656057815381261
2024-10-23,-0.01091867720094922,-0.02186017534867274,-0.028467573344633484,-0.013890438213698968,-0.0006063330094244234,0.028075116712075812,-0.0027116383499408347,-0.04332602482144412,0.00847442249387466,-0.08754540684811697
2024-10-24,0.007523937915991553,-0.0008236002782341415,0.006072150576929348,0.02569154796745315,0.0004849782731717512,-0.01079058488706529,0.006387456332041966,0.010072125451518981,-0.006591485667092464,0.02702086363945473
2024-10-25,0.002191461563702766,0.0036365261370125174,0.00801561364956664,-0.02253213347279499,-0.00036376064637346146,-0.0035671399044563848,-0.005627661199634975,-0.039665511408436306,-0.014123557235742074,0.10439581700672061
2024-10-26,0.0,0.0,0.0,0.00557070573324996,0.0,0.0,0.0,0.017768286644448166,0.0,0.0
2024-10-27,0.0,0.0,0.0,0.013555484057566741,0.0,0.0,0.0,0.010565606337183628,0.0,0.0
2024-10-28,0.00072942126259476,0.008562589122064366,-0.007232402857319112,0.028709215102556977,-0.0004853508337860861,-0.02110334755520571,-0.0027168547775509077,0.023430015732824112,0.0074885181666133685,0.19358476466672683
2024-10-29,0.009253781457162933,0.0011562592304311958,0.00518140000496346,0.03944659057776213,0.0003641332069876821,-0.0074983106135250764,0.0015222523696683489,0.02791075260486656,-0.020114690986313688,-0.004219431672506437
2024-10-30,0.007234316137240295,-0.015395954329437472,-0.013614365766067709,-0.00525236341818716,-0.0008500139680741549,0.00338402866573288,0.002929654341147766,0.007332923830771978,-0.0022863080901316603,-0.06959710919210857
2024-10-31,-0.01816650912342701,-0.018377251659528214,-0.048373896648429816,-0.029806220896924952,0.00024292086121685736,-0.01651210998806114,0.0016237770465710258,-0.054747302007758666,0.009288265999343955,-0.03131012327233612
2024-11-01,0.0001095688511384859,-0.013368729314728333,0.019690320908507957,-0.010490161236778449,-0.0003288448283674029,-0.00046589903220849247,-0.01419843414794471,-0.0015569071230169813,-0.022343401899403554,-0.05974800935872335
2024-11-02,0.0,0.0,0.0,-0.00278436278553029,0.0,0.0,0.0,-0.008321889126305491,0.0,0.0
2024-11-03,0.0,0.0,0.0,-0.00794258611024876,0.0,0.0,0.0,-0.014004616269904045,0.0,0.0
