Price,Close,High,Low,Open,Volume
Ticker,VPU,VPU,VPU,VPU,VPU
Date,,,,,
2024-01-02,129.99867248535156,130.34497097200668,127.51850183182376,127.61209910517678,331100
2024-01-03,130.4759979248047,130.73805315173828,129.12827716860977,129.74598489535558,176000
2024-01-04,129.90505981445312,131.1591830176055,129.83953888188734,130.63507268082157,210200
2024-01-05,130.3074951171875,131.08430660082115,129.21247582992623,129.83953742446377,225500
2024-01-08,131.33702087402344,131.4025275314624,129.8489186899262,130.18584883358378,202100
2024-01-09,130.32623291015625,130.8035446723164,129.96122643769564,130.59764212057584,171600
2024-01-10,130.21392822265625,130.84098989460716,129.83955345369787,130.32623351287515,263200
2024-01-11,127.1908950805664,129.82082930781164,126.81653463902464,129.82082930781164,250100
2024-01-12,127.8928451538086,128.52927510890427,127.47168604226981,127.9677201062279,191600
2024-01-16,126.37666320800781,127.53720351758605,126.1239620355721,127.35002328208931,249700
2024-01-17,124.57035064697266,126.68551439803839,123.71866417003267,125.68407802342925,189500
2024-01-18,123.3349380493164,124.139825915325,122.69852239202133,124.139825915325,195600
2024-01-19,123.194580078125,123.60638524405697,122.44584471106135,123.60638524405697,246400
2024-01-22,122.77338409423828,124.16790328106951,122.30542636078391,123.23198781416077,242900
2024-01-23,122.99800872802734,123.44724415267991,122.37094708002947,122.93250207154767,257400
2024-01-24,121.25720977783203,123.99008132147773,121.07938354805398,123.75610244670392,267600
2024-01-25,123.43791198730469,123.43791198730469,121.81878194452193,122.60494764704706,206100
2024-01-26,123.70931243896484,124.21471484103118,123.37239654550486,123.65315979005484,191900
2024-01-29,124.57970428466797,124.98214106738733,123.07287986113826,123.74674011768175,231400
2024-01-30,124.45803833007812,125.234849903415,123.47532420569115,124.27085808756087,816600
2024-01-31,124.00880432128906,126.02101694318412,123.50341623257317,125.35652493244774,1195100
2024-02-01,126.55448913574219,126.57321144352929,123.30686136010178,123.69059012458645,279200
2024-02-02,124.39253234863281,125.60922535302257,123.55956812610103,125.21612827637864,396400
2024-02-05,121.73452758789062,123.30685866516633,121.72515929373355,123.26006003718965,219600
2024-02-06,122.29608154296875,122.60493538398444,121.33208968204298,121.71581847975379,207900
2024-02-07,122.36160278320312,122.86699089095285,121.76261740912227,122.66108832977464,152000
2024-02-08,121.5941390991211,122.04337453695933,120.56464062570276,122.04337453695933,232700
2024-02-09,122.12763214111328,122.22121513282282,121.06068892524092,121.28529953009483,199600
2024-02-12,123.65315246582031,123.65315246582031,121.8936410201278,122.09954357456054,256100
2024-02-13,121.47245788574219,123.28813611250989,119.84397417050879,122.77337976766293,417600
