Price,Close,High,Low,Open,Volume
Ticker,TLT,TLT,TLT,TLT,TLT
Date,,,,,
2024-01-02,89.40735626220703,89.71657054954856,89.12543109844039,89.33460608150972,47797400
2024-01-03,89.78022003173828,89.89844513172885,88.35239470446793,88.56156272279739,58159500
2024-01-04,88.41606903076172,88.79803350959321,88.27965116303591,88.59795489539549,52604500
2024-01-05,87.57028198242188,88.83440740925298,87.49752486498541,87.76126421181716,45894800
2024-01-08,88.43425750732422,88.56157900410564,87.38839640790431,87.51572484318693,39485800
2024-01-09,87.87040710449219,88.37059671632055,87.84311797933688,87.88859291609454,34374000
2024-01-10,87.4611587524414,88.26147328113025,87.41569075144874,88.1432412138458,48227800
2024-01-11,87.9522705078125,88.06140621383028,87.04282710650516,87.46117023848623,78858900
2024-01-12,87.77945709228516,88.4615395115653,87.55209628585844,88.01591427374927,38883900
2024-01-16,86.2333984375,87.11555939530393,85.95147328383091,86.9609557264209,61716700
2024-01-17,86.09699249267578,86.39711043627372,85.63318142184423,86.03333174147333,55506800
2024-01-18,85.29668426513672,86.01514527380645,85.04204126226674,85.90600958464726,77339100
2024-01-19,85.56951141357422,85.6422685382632,84.81467879505537,85.22392547905355,47030900
2024-01-22,86.07880401611328,86.46986488668257,85.84234683103617,86.23340770160546,35756400
2024-01-23,85.39672088623047,85.47856744664304,84.96928145696155,85.38762451112866,35786700
2024-01-24,84.89652252197266,85.97876216545862,84.6691617187866,85.95147997923647,54574900
2024-01-25,85.45127868652344,85.6877358514724,85.09659640835034,85.48765724563103,57019400
2024-01-26,85.28758239746094,85.55132175873547,85.02384303618642,85.42400026549963,29276900
2024-01-29,86.26978302001953,86.55170819337548,85.5967969907984,85.76958648164509,38243600
2024-01-30,87.05191040039062,87.1610391515051,86.16065294811415,86.83364595966022,40151400
2024-01-31,87.90679931640625,88.1341601584969,87.30656336280587,87.506642014006,80646700
2024-02-01,89.63117218017578,90.02349131931282,88.67318844099914,88.88302951494079,84291200
2024-02-02,87.65132904052734,88.15313500093181,87.3046311702282,87.83380013840559,63823300
2024-02-05,85.88133239746094,86.53823950429225,85.78097120276024,86.33751711489087,53827400
2024-02-06,86.72071075439453,86.81194629854717,85.95431686969563,85.98168683685883,33411500
2024-02-07,86.30101776123047,86.88494057818923,86.23715218199177,86.28277343608774,40120200
2024-02-08,85.79920959472656,86.03642756116994,85.45251176748265,85.78095831070958,50087700
2024-02-09,85.62586212158203,85.77184455880608,85.45251667841063,85.5437522212628,27951300
2024-02-12,85.72621154785156,85.89043828678867,85.30652253964,85.67147162181412,27890300
2024-02-13,84.25732421875,84.90510574602519,84.23907989101885,84.72263462540548,49768500
2024-02-14,84.68611907958984,84.8959670836625,84.14782452786174,84.21169010113161,44191600
2024-02-15,85.12408447265625,85.50727802509192,84.85037081472936,85.36129555131025,49598500
2024-02-16,84.63138580322266,84.71349570638667,84.24818537264606,84.37592349005557,33116800
2024-02-20,84.7043685913086,85.02370343804313,84.5948887223261,84.65875429950783,24469300
2024-02-21,84.10220336914062,84.759110386814,83.9471022568637,84.69524481347494,36343100
2024-02-22,84.51277160644531,84.63138407858861,84.18431807883064,84.23906497398363,45190700
2024-02-23,85.64410400390625,85.76270950050997,84.62224793800318,84.62224793800318,38406700
2024-02-26,85.3886489868164,85.79009375113648,85.0237067946994,85.76272378281031,27855000
2024-02-27,84.78646850585938,85.27914870027604,84.7134773005774,85.06930072529647,30242000
2024-02-28,85.32477569580078,85.39776691195797,84.75911117264623,84.92333792858717,34574200
2024-02-29,85.92697143554688,86.03645829628513,85.56202219391385,85.59851781415993,51038600
2024-03-01,86.46234893798828,86.49895921714011,85.12610517108173,85.519656943593,45832800
2024-03-04,86.11455535888672,86.17862858485766,85.7393122147659,85.75761386311702,23864200
2024-03-05,87.34099578857422,87.5698048515242,86.91998795067006,87.15795133129362,37721900
2024-03-06,87.85352325439453,88.01826605414958,87.3226915509156,87.39590514204141,40571600
2024-03-07,87.7711410522461,88.22875909007564,87.38674357631658,88.19214880912563,39075000
2024-03-08,87.61556243896484,87.90843773677283,87.38675339434305,87.67962869215103,25023200
2024-03-11,87.5698013305664,87.87183095736417,87.28608033837963,87.82606635353487,17787900
2024-03-12,86.83759307861328,87.1396226480681,86.66370297901247,86.98403419690538,29566000
2024-03-13,86.41659545898438,86.70947074717431,86.22439670573763,86.48981602670627,38270100
2024-03-14,85.08948516845703,85.80336807359801,84.98880865796833,85.78506642746187,58365600
2024-03-15,85.06202697753906,85.29083595306918,84.92474019568184,85.17185081686821,34997700
2024-03-18,84.80580139160156,85.10782407258938,84.65936022762041,84.86986765516856,29519500
2024-03-19,85.04375457763672,85.36408588330015,84.83325414078594,84.97968831650404,26953100
2024-03-20,85.01629638671875,85.84001042456325,84.46715602238861,85.20849516509936,43460100
2024-03-21,85.1993408203125,85.51052478237692,84.8698621879775,85.36408362782929,34276600
2024-03-22,86.01390838623047,86.22440881963261,85.83085694120834,86.20610716647973,30262300
2024-03-25,85.583740234375,85.80339497034359,85.3915414675652,85.76678468389913,24011800
2024-03-26,85.82171630859375,85.91324553704958,85.37325241649916,85.58375986616791,34423000
2024-03-27,86.67286682128906,86.67286682128906,85.97729232499944,86.02304994615898,50157800
2024-03-28,86.59964752197266,86.96573639790792,86.3250738823235,86.48066235286575,34540400
2024-04-01,84.9853286743164,85.67402661493227,84.90268127842768,85.66484201410069,48945400
2024-04-02,84.51702117919922,84.66393977927572,83.87423216219392,84.08543596918958,43086300
2024-04-03,84.49864959716797,84.52620340184284,83.6079394083662,83.8007740063005,45494400
2024-04-04,85.10472106933594,85.1781838821815,84.51703257817034,85.0588050598576,47957400
2024-04-05,83.92015838623047,84.64558789054263,83.91097378329505,84.19564042789814,42495900
2024-04-08,83.91097259521484,84.10380721933217,83.68140656567527,83.7732385821305,37879800
2024-04-09,84.69149780273438,84.81086960910417,84.33336837202732,84.36092217885005,32522000
2024-04-10,82.84577178955078,83.83749850222257,82.68966860490737,83.74566650579919,74368900
2024-04-11,82.46929168701172,83.0478025194055,82.19381667683254,82.99270191273071,65751200
2024-04-12,82.91006469726562,83.51611534758648,82.90088009483378,83.23145572439024,47900100
2024-04-15,81.6244888305664,81.96424904277292,81.28472861835989,81.92751764098314,55993100
2024-04-16,81.08272552490234,81.33983836051264,80.6144088567268,80.85315949227895,45103200
2024-04-17,81.98262023925781,82.07444525091178,81.2296439344164,81.60613558973677,57947000
2024-04-18,81.56939697265625,81.97342838937459,81.3490085572113,81.94588158889364,43839500
2024-04-19,81.86323547363281,82.08361686789708,81.64285407936856,82.08361686789708,44826800
2024-04-22,81.72550201416016,81.83569622435672,81.40411099166874,81.43165779276816,24969000
2024-04-23,81.7530517578125,82.22136841075556,81.31228891275948,81.47757673110414,27222700
2024-04-24,81.17452239990234,81.38571915346276,80.34808356776028,81.32144096684043,48986800
2024-04-25,80.60520935058594,80.71540354795897,80.2011709660162,80.31136516338924,49282600
2024-04-26,81.0276107788086,81.36737096991178,80.85314538839181,81.03679538013519,31589800
2024-04-29,81.7071533203125,81.74387772398248,81.24802121063752,81.41330905035251,39228600
2024-04-30,81.0092544555664,81.47757107600509,80.89906024905183,81.19290446062541,41054700
2024-05-01,81.60636138916016,82.20532549131343,81.31148772768599,81.64322147563726,59679500
2024-05-02,81.9565200805664,82.02102346753531,81.11796901962856,81.28383587616891,58925400
2024-05-03,82.78588104248047,83.0439017257614,82.26063695461906,82.86881801969267,50066100
2024-05-06,83.10840606689453,83.16369269875676,82.62923182293906,82.81353231305457,23868200
2024-05-07,83.61519622802734,84.07593679556385,83.49540621139138,83.76263658420373,30525800
2024-05-08,83.10840606689453,83.35720294061942,83.08076275096342,83.21897933061899,31171700
2024-05-09,83.51384735107422,83.64285417012609,82.76744975079635,82.81352662774817,39606700
